Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed   391 | Wombat(0,1.0 m,0.64) x   26 | MC estimate 126
seed   375 | Wombat(0,1.0 m,0.64) x  263 | MC estimate  71
seed   345 | Wombat(0,1.0 m,0.64) x   33 | MC estimate 121
seed   385 | Wombat(0,1.0 m,0.64) x  266 | MC estimate 140
seed   388 | Wombat(0,1.0 m,0.64) x  162 | MC estimate 118
seed   347 | Wombat(0,1.0 m,0.64) x  267 | MC estimate  71
seed   355 | Wombat(0,1.0 m,0.64) x  270 | MC estimate  71
seed   380 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 133
seed   392 | Wombat(0,1.0 m,0.64) x  284 | MC estimate  71
seed   333 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 133
seed   393 | Wombat(0,1.0 m,0.64) x  274 | MC estimate  71
seed   366 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 120
seed   394 | Wombat(0,1.0 m,0.64) x  252 | MC estimate 124
seed   389 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 129
seed   343 | Wombat(0,1.0 m,0.64) x  172 | MC estimate 132
seed   397 | Wombat(0,1.0 m,0.64) x  268 | MC estimate  72
seed   387 | Wombat(0,1.0 m,0.64) x  178 | MC estimate 135
seed   399 | Wombat(0,1.0 m,0.64) x   43 | MC estimate 137
seed   401 | Wombat(0,1.0 m,0.64) x  256 | MC estimate  72
seed   395 | Wombat(0,1.0 m,0.64) x  208 | MC estimate 131
seed   396 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 141
seed   402 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  72
seed   377 | Wombat(0,1.0 m,0.64) x   73 | MC estimate 139
seed   412 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  72
seed   381 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  71
seed   414 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  72
seed   383 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  71
seed   371 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 123
seed   400 | Wombat(0,1.0 m,0.64) x  232 | MC estimate 144
seed   416 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  72
seed   362 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  71
seed   406 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  72
seed   404 | Wombat(0,1.0 m,0.64) x  156 | MC estimate 132
seed   405 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  72
seed   418 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 114
seed   419 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  72
seed   408 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  72
seed   409 | Wombat(0,1.0 m,0.64) x  137 | MC estimate 127
seed   420 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  72
seed   403 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  72
seed   365 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  71
seed   422 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  72
seed   425 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 142
seed   423 | Wombat(0,1.0 m,0.64) x  216 | MC estimate 127
seed   407 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  72
seed   398 | Wombat(0,1.0 m,0.64) x  256 | MC estimate 137
seed   426 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 134
seed   427 | Wombat(0,1.0 m,0.64) x   86 | MC estimate 124
seed   424 | Wombat(0,1.0 m,0.64) x  278 | MC estimate  72
seed   432 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 118
seed   433 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 112
seed   411 | Wombat(0,1.0 m,0.64) x  313 | MC estimate  72
seed   429 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 120
seed   413 | Wombat(0,1.0 m,0.64) x  267 | MC estimate 123
seed   361 | Wombat(0,1.0 m,0.64) x  364 | MC estimate  71
seed   434 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 110
seed   439 | Wombat(0,1.0 m,0.64) x  379 | MC estimate  72
seed   438 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 114
seed   440 | Wombat(0,1.0 m,0.64) x  376 | MC estimate  72
seed   431 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 124
seed   436 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 134
seed   441 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 124
seed   442 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 124
seed   379 | Wombat(0,1.0 m,0.64) x  205 | MC estimate 142
seed   443 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 127
seed   415 | Wombat(0,1.0 m,0.64) x  114 | MC estimate 143
seed   446 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 101
seed   421 | Wombat(0,1.0 m,0.64) x  492 | MC estimate  72
seed   444 | Wombat(0,1.0 m,0.64) x   56 | MC estimate 134
seed   435 | Wombat(0,1.0 m,0.64) x   42 | MC estimate 124
seed   430 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 135
seed   410 | Wombat(0,1.0 m,0.64) x  256 | MC estimate 148
seed   445 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 129
seed   437 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 111
seed   428 | Wombat(0,1.0 m,0.64) x  100 | MC estimate 131
seed   417 | Wombat(0,1.0 m,0.64) x  567 | MC estimate 117

Evaluated 446 seeds with MC | MC c.s. [65,152] 100.3
	selected top 352 of them for MRME | MC c.s. [69,152] 109.3
	17.0 m

seed  1 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed  2 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed  3 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed  4 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed  5 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed  6 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed  7 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 70
seed  8 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed  9 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 10 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 11 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed 12 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 13 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 67
seed 14 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 69
seed 15 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 8, score 72
seed 16 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 70
seed 17 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 18 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 66
seed 19 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 66
seed 20 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 21 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 22 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 13, score 72
seed 23 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 24 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 66
seed 25 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 26 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 28 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 29 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 9, score 69
seed 30 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 31 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 66
seed 32 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 6, score 68
seed  1 | gen    1 (3 grids scored in 4.3 s) | maps{1} | new champion: max wsl 11, nw 13, score 120
seed  5 | gen    1 (9 grids scored in 5.7 s) | maps{1} | new champion: max wsl 11, nw 13, score 134
seed 27 | gen    0 (0 grids scored in 0.1 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 27 | gen    2 (22 grids scored in 7.9 s) | maps{1} | new champion: max wsl 13, nw 14, score 109
seed 32 | gen    1 (7 grids scored in 8.9 s) | maps{1} | new champion: max wsl 11, nw 13, score 132
seed 20 | gen    2 (33 grids scored in 15.3 s) | maps{1} | new champion: max wsl 11, nw 13, score 124
seed 12 | gen    3 (60 grids scored in 19.3 s) | maps{1} | new champion: max wsl 13, nw 17, score 120
seed 22 | gen    2 (22 grids scored in 19.3 s) | maps{1} | new champion: max wsl 10, nw 20, score 122
seed 28 | gen    3 (91 grids scored in 27.0 s) | maps{1} | new champion: max wsl 13, nw 14, score 129
seed  2 | gen    2 (57 grids scored in 27.2 s) | maps{1} | new champion: max wsl 11, nw 14, score 137
seed  9 | gen    2 (49 grids scored in 28.7 s) | maps{1} | new champion: max wsl 11, nw 14, score 109
seed 24 | gen    2 (91 grids scored in 29.2 s) | maps{1} | new champion: max wsl 13, nw 12, score 131
seed 25 | gen    2 (60 grids scored in 29.5 s) | maps{1} | new champion: max wsl 13, nw 12, score 121
seed 19 | gen    2 (95 grids scored in 30.5 s) | maps{1} | new champion: max wsl 10, nw 13, score 134
seed 27 | gen    3 (61 grids scored in 33.2 s) | maps{1} | new champion: max wsl 13, nw 15, score 124
seed 14 | gen    5 (132 grids scored in 37.2 s) | maps{1} | new champion: max wsl 13, nw 16, score 92
seed 30 | gen    4 (153 grids scored in 43.2 s) | maps{1} | new champion: max wsl 12, nw 14, score 131
seed 22 | gen    3 (80 grids scored in 47.6 s) | maps{1} | new champion: max wsl 10, nw 20, score 134
seed  1 | gen    2 (35 grids scored in 54.8 s) | maps{1} | new champion: max wsl 11, nw 13, score 140
seed 16 | gen    3 (180 grids scored in 55.2 s) | maps{1} | new champion: max wsl 11, nw 14, score 131
seed 11 | gen    3 (152 grids scored in 1.0 m) | maps{1} | new champion: max wsl 13, nw 15, score 110
seed 12 | gen    4 (152 grids scored in 1.0 m) | maps{1} | new champion: max wsl 13, nw 17, score 129
seed 27 | gen    4 (114 grids scored in 1.0 m) | maps{1} | new champion: max wsl 13, nw 15, score 131
seed 28 | gen    4 (192 grids scored in 1.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 137
seed 25 | gen    3 (151 grids scored in 1.2 m) | maps{1} | new champion: max wsl 11, nw 11, score 141
seed 20 | gen    3 (107 grids scored in 1.3 m) | maps{1} | new champion: max wsl 10, nw 14, score 133
seed  5 | gen    2 (65 grids scored in 1.3 m) | maps{1} | new champion: max wsl 11, nw 13, score 139
seed 19 | gen    3 (188 grids scored in 1.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 149
seed 31 | gen    4 (306 grids scored in 1.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 140
seed 14 | gen    6 (244 grids scored in 1.5 m) | maps{1} | new champion: max wsl 12, nw 16, score 130
seed 32 | gen    2 (69 grids scored in 1.5 m) | maps{1} | new champion: max wsl 11, nw 14, score 140
seed 30 | gen    5 (231 grids scored in 1.6 m) | maps{1} | new champion: max wsl 12, nw 14, score 133
seed  9 | gen    3 (133 grids scored in 1.8 m) | maps{1} | new champion: max wsl 11, nw 14, score 124
seed  2 | gen    3 (147 grids scored in 1.8 m) | maps{1} | new champion: max wsl 8, nw 13, score 145
seed 24 | gen    3 (199 grids scored in 1.8 m) | maps{1} | new champion: max wsl 13, nw 11, score 144
seed 27 | gen    5 (202 grids scored in 1.9 m) | maps{1} | new champion: max wsl 9, nw 15, score 138
seed 18 | gen    5 (408 grids scored in 2.0 m) | maps{1} | new champion: max wsl 13, nw 12, score 121
seed  6 | gen    5 (439 grids scored in 2.1 m) | maps{1} | new champion: max wsl 13, nw 12, score 124
seed 28 | gen    5 (351 grids scored in 2.1 m) | maps{1} | new champion: max wsl 13, nw 14, score 142
seed 12 | gen    5 (257 grids scored in 2.1 m) | maps{1} | new champion: max wsl 11, nw 16, score 138
seed 11 | gen    4 (270 grids scored in 2.1 m) | maps{1} | new champion: max wsl 11, nw 13, score 136
seed 16 | gen    4 (304 grids scored in 2.2 m) | maps{1} | new champion: max wsl 11, nw 14, score 133
seed  4 | gen    8 (563 grids scored in 2.5 m) | maps{1} | new champion: max wsl 11, nw 13, score 124
seed 22 | gen    4 (200 grids scored in 2.6 m) | maps{1} | new champion: max wsl 9, nw 17, score 140
seed 14 | gen    7 (355 grids scored in 2.6 m) | maps{1} | new champion: max wsl 12, nw 16, score 135
seed 20 | gen    4 (207 grids scored in 2.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 141
seed 31 | gen    5 (415 grids scored in 3.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 143
seed 13 | gen    8 (724 grids scored in 3.2 m) | maps{1} | new champion: max wsl 11, nw 13, score 144
seed 30 | gen    6 (325 grids scored in 3.3 m) | maps{1} | new champion: max wsl 9, nw 14, score 142
seed 25 | gen    4 (281 grids scored in 3.3 m) | maps{1} | new champion: max wsl 11, nw 13, score 150
seed 32 | gen    3 (161 grids scored in 3.4 m) | maps{1} | new champion: max wsl 8, nw 14, score 148
seed  4 | gen    9 (681 grids scored in 3.4 m) | maps{1} | new champion: max wsl 11, nw 14, score 137
seed 27 | gen    6 (329 grids scored in 3.4 m) | maps{1} | new champion: max wsl 8, nw 15, score 148
seed 24 | gen    4 (311 grids scored in 3.4 m) | maps{1} | new champion: max wsl 13, nw 12, score 154
seed  1 | gen    3 (111 grids scored in 3.4 m) | maps{1} | new champion: max wsl 11, nw 13, score 145
seed  6 | gen    6 (609 grids scored in 3.7 m) | maps{1} | new champion: max wsl 12, nw 12, score 130
seed 29 | gen    9 (703 grids scored in 3.7 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed 19 | gen    4 (347 grids scored in 3.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 159
seed  9 | gen    4 (238 grids scored in 4.1 m) | maps{1} | new champion: max wsl 11, nw 13, score 146
seed 28 | gen    6 (510 grids scored in 4.1 m) | maps{1} | new champion: max wsl 13, nw 14, score 143
seed 14 | gen    8 (489 grids scored in 4.1 m) | maps{1} | new champion: max wsl 13, nw 16, score 136
seed 11 | gen    5 (406 grids scored in 4.2 m) | maps{1} | new champion: max wsl 11, nw 13, score 147
seed  5 | gen    3 (144 grids scored in 4.2 m) | maps{1} | new champion: max wsl 11, nw 12, score 144
seed 18 | gen    6 (572 grids scored in 4.2 m) | maps{1} | new champion: max wsl 13, nw 12, score 135
seed  8 | gen   13 (1.0K grids scored in 4.3 m) | maps{1} | new champion: max wsl 9, nw 15, score 136
seed 13 | gen    9 (863 grids scored in 4.3 m) | maps{1} | new champion: max wsl 10, nw 12, score 150
seed  3 | gen   11 (916 grids scored in 4.4 m) | maps{1} | new champion: max wsl 12, nw 13, score 140
seed 20 | gen    5 (332 grids scored in 4.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 149
seed 29 | gen   10 (798 grids scored in 4.8 m) | maps{1} | new champion: max wsl 9, nw 15, score 157
seed 16 | gen    5 (468 grids scored in 5.0 m) | maps{1} | new champion: max wsl 13, nw 14, score 145
seed  4 | gen   10 (820 grids scored in 5.1 m) | maps{1} | new champion: max wsl 11, nw 15, score 143
seed  8 | gen   14 (1.2K grids scored in 5.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 147
seed 27 | gen    7 (488 grids scored in 5.2 m) | maps{1} | new champion: max wsl 8, nw 15, score 150
seed 22 | gen    5 (332 grids scored in 5.3 m) | maps{1} | new champion: max wsl 10, nw 19, score 142
seed  3 | gen   12 (1.0K grids scored in 5.3 m) | maps{1} | new champion: max wsl 12, nw 13, score 144
seed  2 | gen    4 (278 grids scored in 5.4 m) | maps{1} | new champion: max wsl 8, nw 12, score 152
seed 30 | gen    7 (408 grids scored in 5.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 148
seed 24 | gen    5 (432 grids scored in 5.4 m) | maps{1} | new champion: max wsl 9, nw 11, score 161
seed  6 | gen    7 (774 grids scored in 5.5 m) | maps{1} | new champion: max wsl 12, nw 13, score 138
seed  7 | gen   11 (1.3K grids scored in 5.7 m) | maps{1} | new champion: max wsl 10, nw 11, score 80
seed 29 | gen   11 (892 grids scored in 5.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 163
seed 14 | gen    9 (649 grids scored in 5.8 m) | maps{1} | new champion: max wsl 13, nw 16, score 141
seed 32 | gen    4 (280 grids scored in 5.8 m) | maps{1} | new champion: max wsl 8, nw 14, score 149
seed 25 | gen    5 (420 grids scored in 5.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed 11 | gen    6 (569 grids scored in 6.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 151
seed 13 | gen   10 (1.0K grids scored in 6.3 m) | maps{1} | new champion: max wsl 10, nw 12, score 156
seed  8 | gen   15 (1.3K grids scored in 6.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 155
seed 28 | gen    7 (686 grids scored in 6.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 151
seed 20 | gen    6 (476 grids scored in 6.5 m) | maps{1} | new champion: max wsl 10, nw 15, score 151
seed  3 | gen   13 (1.2K grids scored in 6.8 m) | maps{1} | new champion: max wsl 9, nw 11, score 149
seed  7 | gen   13 (1.6K grids scored in 7.1 m) | maps{1} | new champion: max wsl 10, nw 13, score 141
seed  1 | gen    4 (215 grids scored in 7.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 149
seed 27 | gen    8 (646 grids scored in 7.2 m) | maps{1} | new champion: max wsl 8, nw 15, score 153
seed  4 | gen   11 (980 grids scored in 7.3 m) | maps{1} | new champion: max wsl 11, nw 13, score 149
seed 31 | gen    6 (559 grids scored in 7.4 m) | maps{1} | new champion: max wsl 9, nw 15, score 151
seed 29 | gen   12 (1.0K grids scored in 7.4 m) | maps{1} | new champion: max wsl 8, nw 14, score 166
seed 18 | gen    7 (749 grids scored in 7.6 m) | maps{1} | new champion: max wsl 10, nw 13, score 146
seed 22 | gen    6 (483 grids scored in 7.7 m) | maps{1} | new champion: max wsl 9, nw 18, score 148
seed 24 | gen    6 (568 grids scored in 7.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 170
seed  8 | gen   16 (1.5K grids scored in 7.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed 14 | gen   10 (804 grids scored in 7.9 m) | maps{1} | new champion: max wsl 10, nw 15, score 144
seed 11 | gen    7 (731 grids scored in 8.0 m) | maps{1} | new champion: max wsl 10, nw 13, score 156
seed  5 | gen    4 (236 grids scored in 8.1 m) | maps{1} | new champion: max wsl 11, nw 12, score 146
seed 20 | gen    7 (621 grids scored in 8.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed  6 | gen    8 (956 grids scored in 8.3 m) | maps{1} | new champion: max wsl 12, nw 13, score 140
seed  7 | gen   14 (1.7K grids scored in 8.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 150
seed 12 | gen    7 (494 grids scored in 8.5 m) | maps{1} | new champion: max wsl 9, nw 17, score 141
seed  3 | gen   14 (1.3K grids scored in 8.7 m) | maps{1} | new champion: max wsl 9, nw 12, score 152
seed 32 | gen    5 (396 grids scored in 8.7 m) | maps{1} | new champion: max wsl 8, nw 14, score 152
seed 25 | gen    6 (565 grids scored in 8.8 m) | maps{1} | new champion: max wsl 10, nw 13, score 162
seed 16 | gen    6 (650 grids scored in 8.9 m) | maps{1} | new champion: max wsl 8, nw 13, score 155
seed  2 | gen    5 (413 grids scored in 9.1 m) | maps{1} | new champion: max wsl 8, nw 12, score 155
seed 28 | gen    8 (860 grids scored in 9.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 154
seed 30 | gen    9 (596 grids scored in 9.5 m) | maps{1} | new champion: max wsl 12, nw 13, score 149
seed  8 | gen   17 (1.7K grids scored in 9.6 m) | maps{1} | new champion: max wsl 8, nw 14, score 158
seed 22 | gen    7 (628 grids scored in 10.0 m) | maps{1} | new champion: max wsl 9, nw 17, score 149
seed 14 | gen   11 (958 grids scored in 10.1 m) | maps{1} | new champion: max wsl 13, nw 15, score 148
seed 11 | gen    8 (907 grids scored in 10.1 m) | maps{1} | new champion: max wsl 8, nw 13, score 160
seed  4 | gen   12 (1.1K grids scored in 10.3 m) | maps{1} | new champion: max wsl 9, nw 14, score 152
seed 20 | gen    8 (786 grids scored in 10.3 m) | maps{1} | new champion: max wsl 9, nw 12, score 159
seed  7 | gen   15 (1.9K grids scored in 10.3 m) | maps{1} | new champion: max wsl 8, nw 13, score 154
seed 12 | gen    8 (618 grids scored in 10.5 m) | maps{1} | new champion: max wsl 9, nw 17, score 154
seed  3 | gen   15 (1.4K grids scored in 10.7 m) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 18 | gen    8 (946 grids scored in 11.4 m) | maps{1} | new champion: max wsl 10, nw 13, score 155
seed  6 | gen    9 (1.1K grids scored in 11.5 m) | maps{1} | new champion: max wsl 10, nw 15, score 152
seed 31 | gen    7 (711 grids scored in 11.7 m) | maps{1} | new champion: max wsl 9, nw 15, score 153
seed  1 | gen    5 (341 grids scored in 11.7 m) | maps{1} | new champion: max wsl 9, nw 14, score 152
seed 32 | gen    6 (536 grids scored in 11.9 m) | maps{1} | new champion: max wsl 10, nw 12, score 154
seed 19 | gen    6 (675 grids scored in 11.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 163
seed 14 | gen   12 (1.1K grids scored in 12.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 151
seed 22 | gen    8 (780 grids scored in 12.5 m) | maps{1} | new champion: max wsl 9, nw 20, score 153
seed  7 | gen   16 (2.1K grids scored in 12.6 m) | maps{1} | new champion: max wsl 8, nw 13, score 160
seed 28 | gen    9 (1.1K grids scored in 12.6 m) | maps{1} | new champion: max wsl 10, nw 14, score 158
seed 11 | gen    9 (1.1K grids scored in 12.7 m) | maps{1} | new champion: max wsl 8, nw 13, score 163
seed  2 | gen    6 (566 grids scored in 12.9 m) | maps{1} | new champion: max wsl 10, nw 12, score 158
seed  5 | gen    5 (351 grids scored in 13.0 m) | maps{1} | new champion: max wsl 11, nw 13, score 150
seed 17 | gen   30 (3.3K grids scored in 13.0 m) | maps{1} | new champion: max wsl 10, nw 14, score 136
seed 12 | gen    9 (763 grids scored in 13.0 m) | maps{1} | new champion: max wsl 9, nw 17, score 159
seed  4 | gen   13 (1.3K grids scored in 13.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed  3 | gen   16 (1.5K grids scored in 13.3 m) | maps{1} | new champion: max wsl 9, nw 13, score 160
seed 16 | gen    7 (814 grids scored in 13.6 m) | maps{1} | new champion: max wsl 8, nw 12, score 156
seed 17 | gen   31 (3.4K grids scored in 13.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 139
seed 20 | gen   10 (1.1K grids scored in 14.5 m) | maps{1} | new champion: max wsl 9, nw 12, score 166
seed 14 | gen   13 (1.3K grids scored in 14.5 m) | maps{1} | new champion: max wsl 8, nw 15, score 153
seed  8 | gen   19 (2.0K grids scored in 14.6 m) | maps{1} | new champion: max wsl 8, nw 14, score 159
seed 17 | gen   32 (3.6K grids scored in 15.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 145
seed 12 | gen   10 (915 grids scored in 15.1 m) | maps{1} | new champion: max wsl 9, nw 17, score 161
seed  6 | gen   10 (1.3K grids scored in 15.3 m) | maps{1} | new champion: max wsl 10, nw 15, score 154
seed 32 | gen    7 (682 grids scored in 15.4 m) | maps{1} | new champion: max wsl 8, nw 12, score 156
seed 11 | gen   10 (1.2K grids scored in 15.8 m) | maps{1} | new champion: max wsl 8, nw 12, score 166
seed 28 | gen   10 (1.2K grids scored in 15.8 m) | maps{1} | new champion: max wsl 10, nw 14, score 162
seed  4 | gen   14 (1.5K grids scored in 16.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 157
seed 31 | gen    8 (862 grids scored in 16.2 m) | maps{1} | new champion: max wsl 9, nw 15, score 159
